AUTHOR	COLLABORATOR	UUIDS	MATCHSCORE	ACTUAL_COLLABORATOR	RUNNING_SCORE
Polosan M	Wu X	3ffe4b7f-b1b0-383a-9ae4-a47cdff76658	0.723590629334809	0	0.5
Polosan M	Simo L	5691dd11-3d00-38db-8d89-60e8f253d89a	0.724061877891513	0	0.5
Polosan M	Foxe JJ	0ec43f48-8e26-3577-8b97-dc4aca673a9b	0.724449360710711	0	0.5
Polosan M	Wardlaw JM	212a9b5f-c21a-3d15-b761-3590790a4e0d	0.725060948504613	0	0.5
Polosan M	Courchesne E	e2a5c355-715a-3749-a5fc-fc1d4409cb43	0.726416311834297	0	0.5
Polosan M	Lin W	892223ff-40cf-359e-bab4-112959fd1e4a	0.726682821658276	0	0.5
Polosan M	Meltzoff AN	b3f06153-86a7-3fbb-bd06-52c97038790c	0.727157146714826	0	0.5
Polosan M	Kim S	6584f611-4d4e-30ad-9581-be838503bfb7	0.728965388561887	0	0.5
Polosan M	Tan Y	df90f126-c4de-3004-8a46-50285b610b80	0.729536529477636	0	0.5
Polosan M	Mitchell T	6a2d5165-0b62-39b7-b55a-7f17c730bd9c	0.73006380341459	0	0.5
Polosan M	Liu Z	71664e4d-0d43-3b53-a8e9-181cecacea21	0.730111275959638	0	0.5
Polosan M	Suckling J	9726a1ee-8137-3af3-ad11-2bef52c07918	0.73037798673551	0	0.5
Polosan M	Dobbins IG	ab92f3f9-f857-3aab-9058-e3409599c04b	0.730621235883395	0	0.5
Polosan M	Harris AW	7f717e74-59dc-37bb-8386-be598f59aaea	0.73070710776465	0	0.5
Polosan M	Fadiga L	02e2ff15-d915-3058-afd4-44fe0dacf8e3	0.730749917548173	0	0.5
Polosan M	Senoo A	62e913ae-9fba-3d50-9685-167c6449a742	0.731059953689173	0	0.5
Polosan M	Horn H	3d5e1103-6da2-3c2f-84b7-eb7302772aea	0.734426489777318	0	0.5
Polosan M	Vanlehn K	b932d058-4e54-362c-ab6f-1da8932be2f0	0.735396846235274	0	0.5
Polosan M	Dong Q	6524f8d2-cb0b-38b5-8679-376b8648e4a9	0.735706190285051	0	0.5
Polosan M	van Engeland H	a2eaea24-1c7a-322c-9c77-c57fe04eede2	0.736078947153054	0	0.5
Polosan M	Bach P	6ade0d73-13e1-3caa-88c7-3d3a9b5659f6	0.736193206589485	0	0.5
Polosan M	Padberg F	ce21ca8c-d0f2-341e-b68c-c86d6a81f913	0.73640074006927	0	0.5
Polosan M	Baron-Cohen S	5ac808c0-0888-358d-853e-920454d1b962	0.736590828770103	0	0.5
Polosan M	Bastin C	1fb95e5e-52db-3be8-9d57-884d46bc9b09	0.736695570858751	0	0.5
Polosan M	Goodyer IM	a2f8ec77-fd43-3855-b449-95476e7ca1f5	0.737056613115738	0	0.5
Polosan M	Savage CR	059c5495-7f77-357a-ae3d-0220e090d2d6	0.737814226279908	0	0.5
Polosan M	Barbeau EJ	4ea0ab10-9fd2-30c2-8bc9-a69622bfb82c	0.738833253226164	0	0.5
Polosan M	Kunugi H	51c226ba-ac5a-31c5-b4c3-73c5791ae642	0.73910564288873	0	0.5
Polosan M	Stone LS	b979cee8-1a86-395b-b3e7-cf96851b7e30	0.740477830210205	0	0.5
Polosan M	de Ridder DT	c1912f34-b35b-3670-b3a4-bfc1fa7ad81b	0.741800896432371	0	0.5
Polosan M	Gjedde A	2bc6a5d7-b8c8-3271-a2ab-e6511b0e29cd	0.744410425560682	0	0.5
Polosan M	Large E	8247be6d-094d-32d9-912f-27b5b9bb81e2	0.744474812324086	0	0.5
Polosan M	Yu X	5bb1cec7-590b-39a8-a8a1-aa4cf435ca35	0.745038063399445	0	0.5
Polosan M	Zhang J	410128d2-ad22-32bd-8713-211a4d173bc9	0.745446337258092	0	0.5
Polosan M	Zhang T	b5c95b58-8986-323d-8dbb-68e58ad60b25	0.746375377346259	0	0.5
Polosan M	Boyd LA	e9c8a544-bbc7-3e9d-a8e1-02a7efe33c7b	0.747528050558699	0	0.5
Polosan M	Roepke S	7cef348d-3ebc-3ad1-bc11-bf0908b711cb	0.747782395421956	0	0.5
Polosan M	Hulshoff Pol HE	8d4b7845-7a45-33f2-b7b5-4fea23430db4	0.747997315460015	0	0.5
Polosan M	Rektor I	361b0295-4749-325b-9eb0-e8c7cd25feec	0.748319613500961	0	0.5
Polosan M	Hooker C	ff04e0c6-3667-30dd-8fc7-f1d03307939d	0.74834603028002	0	0.5
Polosan M	Lavie N	3aad9be4-4f25-305a-9f8f-784eaf21500b	0.748510555206152	0	0.5
Polosan M	Mitchell PB	e4260747-8db3-3f34-8f04-839383535799	0.74938392572653	0	0.5
